Draw Date,Winning Numbers,Multiplier
2022-04-04,02 32 39 46 69 06,2
2022-04-02,06 28 47 58 59 18,2
2022-03-30,03 07 21 31 37 11,3
2022-03-28,11 18 39 58 62 03,2
2022-03-26,02 10 50 59 61 06,3
2022-03-23,31 32 37 38 48 24,2
2022-03-21,01 15 26 63 65 16,2
2022-03-19,08 09 18 48 52 06,2
2022-03-16,03 28 34 35 58 17,2
2022-03-14,21 28 32 44 49 06,3
2022-03-09,13 22 34 51 67 10,2
2022-03-07,10 43 55 59 67 02,3
2022-03-05,08 23 37 52 63 13,2
2022-03-02,19 37 48 61 63 12,2
2022-02-28,07 21 39 47 55 19,2
2022-02-26,15 32 36 48 64 19,3
2022-02-23,06 17 21 35 64 18,2
2022-02-21,02 36 37 45 69 03,2
2022-02-19,03 10 15 33 42 11,2
2022-02-16,22 30 40 42 48 16,2
2022-02-14,16 25 27 49 55 17,3
2022-02-12,08 10 21 41 62 07,3
2022-02-09,02 17 33 51 63 26,2
2022-02-07,05 15 38 47 65 10,3
2022-02-05,05 16 27 39 61 24,2
2022-02-02,18 29 33 62 63 15,3
2022-01-31,10 15 51 61 69 14,3
2022-01-29,02 15 38 54 65 11,4
2022-01-26,04 11 38 49 69 16,3
2022-01-24,11 29 30 47 53 16,3
2022-01-22,08 14 33 36 67 17,2
2022-01-19,11 15 43 55 61 10,3
2022-01-17,09 24 35 46 65 22,2
2022-01-15,03 18 37 51 59 13,2
2022-01-12,12 21 22 30 33 24,4
2022-01-10,14 17 18 21 27 09,2
2022-01-08,20 21 36 60 65 13,10
2022-01-05,06 14 25 33 46 17,2
2022-01-03,02 13 32 33 48 22,2
2022-01-01,06 12 39 48 50 07,2
2021-12-29,02 06 09 33 39 11,2
2021-12-27,36 38 45 62 64 19,2
2021-12-25,27 29 45 55 58 02,3
2021-12-22,07 16 19 48 68 15,2
2021-12-20,02 13 23 34 66 02,4
2021-12-18,02 06 24 51 61 01,2
2021-12-15,19 20 40 42 59 15,3
2021-12-13,10 30 37 53 59 04,2
2021-12-11,03 25 44 53 64 10,2
2021-12-08,03 07 33 50 69 24,2
2021-12-06,03 21 38 50 59 06,3
2021-12-04,10 40 45 56 67 02,2
2021-12-01,12 15 38 57 63 24,2
2021-11-29,18 26 28 38 47 17,2
2021-11-27,08 32 55 64 66 10,2
2021-11-24,10 16 32 63 65 17,2
2021-11-22,07 20 29 38 67 22,2
2021-11-20,40 43 48 59 69 19,3
2021-11-17,03 16 48 52 60 01,3
2021-11-15,05 31 34 51 53 23,2
2021-11-13,08 15 26 35 45 09,3
2021-11-10,19 25 43 46 48 14,2
2021-11-08,21 46 47 57 62 08,3
2021-11-06,08 30 48 57 64 09,2
2021-11-03,01 02 24 50 57 26,2
2021-11-01,09 25 34 44 45 08,3
2021-10-30,05 23 28 43 56 19,2
2021-10-27,03 06 26 35 51 17,4
2021-10-25,10 27 29 44 58 24,2
2021-10-23,10 30 51 57 63 20,2
2021-10-20,07 29 36 41 43 05,2
2021-10-18,30 32 48 53 63 12,2
2021-10-16,30 31 41 42 48 03,3
2021-10-13,23 29 47 59 60 15,2
2021-10-11,11 20 33 39 65 24,3
2021-10-09,12 17 30 45 62 05,2
2021-10-06,01 17 52 58 64 01,10
2021-10-04,12 22 54 66 69 15,2
2021-10-02,28 38 42 47 52 01,2
2021-09-29,02 07 11 17 32 11,3
2021-09-27,21 22 39 44 60 12,2
2021-09-25,22 23 37 62 63 19,3
2021-09-22,20 40 47 55 63 05,3
2021-09-20,37 51 54 58 60 19,2
2021-09-18,05 36 39 45 57 11,2
2021-09-15,01 04 18 46 62 25,3
2021-09-13,37 40 50 61 63 21,3
2021-09-11,20 31 38 40 49 21,2
2021-09-08,09 22 41 47 61 21,2
2021-09-06,11 20 22 33 54 24,2
2021-09-04,32 35 40 52 54 01,5
2021-09-01,10 20 29 48 51 17,2
2021-08-30,03 15 45 51 61 08,2
2021-08-28,12 22 26 46 59 26,2
2021-08-25,27 39 54 56 59 24,3
2021-08-23,17 36 47 60 61 15,3
2021-08-21,16 28 36 39 59 04,2
2021-08-18,35 36 51 55 61 26,2
2021-08-14,06 21 49 65 67 18,2
2021-08-11,12 18 20 29 30 16,3
2021-08-07,07 24 36 54 60 23,2
2021-08-04,05 21 32 36 58 14,2
2021-07-31,01 21 22 34 47 04,2
2021-07-28,25 30 53 59 60 05,3
2021-07-24,01 04 11 59 67 10,2
2021-07-21,27 28 44 67 68 11,2
2021-07-17,15 22 38 54 66 03,2
2021-07-14,33 46 52 59 62 10,2
2021-07-10,01 05 29 54 62 03,2
2021-07-07,08 21 30 49 57 08,2
2021-07-03,26 40 41 55 65 24,2
2021-06-30,24 29 50 65 66 14,4
2021-06-26,08 31 39 43 60 17,3
2021-06-23,13 20 40 51 63 01,3
2021-06-19,04 22 35 38 39 20,2
2021-06-16,19 29 34 44 50 25,2
2021-06-12,08 25 34 38 41 10,3
2021-06-05,44 52 54 64 69 26,3
2021-06-02,06 07 11 66 67 19,3
2021-05-29,11 13 22 27 46 20,2
2021-05-26,02 08 21 34 62 16,2
2021-05-22,03 19 27 37 40 08,2
2021-05-19,11 13 55 56 69 04,2
2021-05-15,04 10 37 39 69 24,3
2021-05-12,01 19 20 38 54 17,2
2021-05-08,12 17 20 21 26 08,3
2021-05-05,16 23 28 40 63 01,2
